F_Governorate,F_District,F_Subdistrict,F_Community,Comment,T_Governorate,T_District,T_Subdistrict,T_Community,TypeofShelter,ShelterSpecific,Nov_Change,F_Government PCODE,F_Dictrict PCODE,F_SubDistrict PCODE,F_Community PCODE,T_Government PCODE,T_District PCODE,T_SubDictrict PCODE,T_Community PCODE
Hama/ ????,As-Suqaylabiyah/ ?????????,Tell Salhib,Latmana/ ??????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Kafr Nobol,Basqala/ ?????,Living with host families/ ?????? ?? ?????? ?????,,192,SY05,SY0502,SY050201,C3138,SY07,SY0702,SY070203,C4061
Hama/ ????,As-Suqaylabiyah/ ?????????,Tell Salhib,Latmana/ ??????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Khan Shaykun,Qasabiyeh/ ????????,Living with host families/ ?????? ?? ?????? ?????,,120,SY05,SY0502,SY050201,C3138,SY07,SY0702,SY070201,C3986
Hama/ ????,As-Suqaylabiyah/ ?????????,Tell Salhib,Latmana/ ??????,,Idleb/ ????,Ariha/ ?????,Ariha,Ariha/ ?????,Living with host families/ ?????? ?? ?????? ?????,,36,SY05,SY0502,SY050201,C3138,SY07,SY0705,SY070500,C4278
Hama/ ????,As-Suqaylabiyah/ ?????????,Tell Salhib,Latmana/ ??????,,Idleb/ ????,Ariha/ ?????,Ehsem,Arnaba/ ?????,Living with host families/ ?????? ?? ?????? ?????,,90,SY05,SY0502,SY050201,C3138,SY07,SY0705,SY070501,C4301
Hama/ ????,As-Suqaylabiyah/ ?????????,Tell Salhib,Latmana/ ??????,,Idleb/ ????,Idleb/ ???? ????,Saraqab,Dadikh/ ?????,Living with host families/ ?????? ?? ?????? ?????,,300,SY05,SY0502,SY050201,C3138,SY07,SY0700,SY070003,C3910
Hama/ ????,As-Suqaylabiyah/ ?????????,Tell Salhib,Tal Salhab/ ?? ????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Kafr Nobol,Sheikh Mustafa/ ????? ?????,Living with host families/ ?????? ?? ?????? ?????,,150,SY05,SY0502,SY050201,C3145,SY07,SY0702,SY070203,C4055
Hama/ ????,Hama/ ???? ????,Suran - Hama,Atshan/ ?????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Jisr-Ash-Shugur/ ??? ??????,Living with host families/ ?????? ?? ?????? ?????,,756,SY05,SY0501,SY050101,C3021,SY05,SY0502,SY050204,C4199
Hama/ ????,Hama/ ???? ????,Suran - Hama,Atshan/ ?????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Upper Hweijeh/ ????? ????,Living with host families/ ?????? ?? ?????? ?????,,210,SY05,SY0501,SY050101,C3021,SY05,SY0502,SY050204,C3196
Hama/ ????,Hama/ ???? ????,Suran - Hama,Atshan/ ?????,,Hama/ ????,Muhradah/ ?????,Kafr Zeita,Latmana/ ????????,Living with host families/ ?????? ?? ?????? ?????,,270,SY05,SY0501,SY050101,C3021,SY05,SY0505,SY050501,C3458
Hama/ ????,Hama/ ???? ????,Suran - Hama,Atshan/ ?????,,Idleb/ ????,Idleb/ ???? ????,Bennsh,Bennsh/ ???,Living with host families/ ?????? ?? ?????? ?????,,900,SY05,SY0501,SY050101,C3021,SY07,SY0700,SY070002,C3904
Hama/ ????,Hama/ ???? ????,Suran - Hama,Atshan/ ?????,,Idleb/ ????,Idleb/ ???? ????,Saraqab,Maar Dibsi/ ???????,Living with host families/ ?????? ?? ?????? ?????,,600,SY05,SY0501,SY050101,C3021,SY07,SY0700,SY070003,C3931
Hama/ ????,Hama/ ???? ????,Suran - Hama,Atshan/ ?????,,Idleb/ ????,Idleb/ ???? ????,Saraqab,Mardikh/ ?????,Living with host families/ ?????? ?? ?????? ?????,,246,SY05,SY0501,SY050101,C3021,SY07,SY0700,SY070003,C3930
Hama/ ????,Hama/ ???? ????,Suran - Hama,Atshan/ ?????,,Idleb/ ????,Idleb/ ???? ????,Sarmin,Sarmin/ ?????,Living with host families/ ?????? ?? ?????? ?????,,600,SY05,SY0501,SY050101,C3021,SY07,SY0700,SY070006,C3953
Hama/ ????,Hama/ ???? ????,Suran - Hama,Lahaya/ ?????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Madiq Castle/ ???? ??????,Living with host families/ ?????? ?? ?????? ?????,,66,SY05,SY0501,SY050101,C3034,SY05,SY0502,SY050204,C3207
Hama/ ????,Hama/ ???? ????,Suran - Hama,Lahaya/ ?????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Sehriyeh/ ?????,Living with host families/ ?????? ?? ?????? ?????,,36,SY05,SY0501,SY050101,C3034,SY05,SY0502,SY050204,C3204
Hama/ ????,Hama/ ???? ????,Suran - Hama,Lahaya/ ?????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Ziyara,Ziyara/ ???????,Living with host families/ ?????? ?? ?????? ?????,,48,SY05,SY0501,SY050101,C3034,SY05,SY0502,SY050202,C3166
Hama/ ????,Hama/ ???? ????,Suran - Hama,Lahaya/ ?????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Kafr Nobol,Has/ ???,Living with host families/ ?????? ?? ?????? ?????,,270,SY05,SY0501,SY050101,C3034,SY07,SY0702,SY070203,C4058
Hama/ ????,Hama/ ???? ????,Suran - Hama,Lahaya/ ?????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Kafr Nobol,Tramla/ ?????,Living with host families/ ?????? ?? ?????? ?????,,444,SY05,SY0501,SY050101,C3034,SY07,SY0702,SY070203,C4051
Hama/ ????,Hama/ ???? ????,Suran - Hama,Lahaya/ ?????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Khan Shaykun,Hbit/ ??????,Living with host families/ ?????? ?? ?????? ?????,,750,SY05,SY0501,SY050101,C3034,SY07,SY0702,SY070201,C3989
Hama/ ????,Hama/ ???? ????,Suran - Hama,Lahaya/ ?????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Maarrat An Numan,Ma'arrat An Nu'man/ ???? ???????,Living with host families/ ?????? ?? ?????? ?????,,1110,SY05,SY0501,SY050101,C3034,SY07,SY0702,SY070200,C3985
Hama/ ????,Hama/ ???? ????,Suran - Hama,Lahaya/ ?????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Maarrat An Numan,Maasaran/ ??????,Living with host families/ ?????? ?? ?????? ?????,,498,SY05,SY0501,SY050101,C3034,SY07,SY0702,SY070200,C3980
Hama/ ????,Hama/ ???? ????,Suran - Hama,Lahaya/ ?????,,Idleb/ ????,Ariha/ ?????,Ariha,Maarbalit/ ???????,Living with host families/ ?????? ?? ?????? ?????,,540,SY05,SY0501,SY050101,C3034,SY07,SY0705,SY070500,C4285
Hama/ ????,Hama/ ???? ????,Suran - Hama,Maar Dis/ ?????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Tweini/ ?????,Living with host families/ ?????? ?? ?????? ?????,,270,SY05,SY0501,SY050101,C3031,SY05,SY0502,SY050204,C3188
Hama/ ????,Hama/ ???? ????,Suran - Hama,Murak/ ????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Eastern Huweiz/ ?????? ???????,Living with host families/ ?????? ?? ?????? ?????,,300,SY05,SY0501,SY050101,C3029,SY05,SY0502,SY050204,C3194
Hama/ ????,Hama/ ???? ????,Suran - Hama,Murak/ ????,,Hama/ ????,As-Suqaylabiyah/ ?????????,Madiq Castle,Madiq Castle/ ???? ??????,Living with host families/ ?????? ?? ?????? ?????,,30,SY05,SY0501,SY050101,C3029,SY05,SY0502,SY050204,C3207
Hama/ ????,Hama/ ???? ????,Suran - Hama,Murak/ ????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Heish,Armanaya/ ???????,Living with host families/ ?????? ?? ?????? ?????,,144,SY05,SY0501,SY050101,C3029,SY07,SY0702,SY070205,C4106
Hama/ ????,Hama/ ???? ????,Suran - Hama,Murak/ ????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Heish,Heish/ ???,Living with host families/ ?????? ?? ?????? ?????,,600,SY05,SY0501,SY050101,C3029,SY07,SY0702,SY070205,C4105
Hama/ ????,Hama/ ???? ????,Suran - Hama,Murak/ ????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Heish,Kafrsajna/ ???????,Living with host families/ ?????? ?? ?????? ?????,,516,SY05,SY0501,SY050101,C3029,SY07,SY0702,SY070205,C4110
Hama/ ????,Hama/ ???? ????,Suran - Hama,Murak/ ????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Kafr Nobol,Qoqfin/ ??????,Living with host families/ ?????? ?? ?????? ?????,,510,SY05,SY0501,SY050101,C3029,SY07,SY0702,SY070203,C4064
Hama/ ????,Hama/ ???? ????,Suran - Hama,Murak/ ????,,Idleb/ ????,Al Ma'ra/ ???? ???????,Kafr Nobol,Shorlin/ ??????,Living with host families/ ?????? ?? ?????? ?????,,66,SY05,SY0501,SY050101,C3029,SY07,SY0702,SY070203,C4053
